dataset,method,seed,head,m,documents,kernel_nmse,output_nmse,negative_kernel_fraction,nonpositive_denominator_fraction,invalid_output_rows,row_l1,denominator_nmse,near_cancellation_fraction
official,centered_favor_plus,1083,"[14, 0]",64,20,1.0080199163202443,1.8920043760719227,0.0,0.0,0,0.46259449076819903,1.0032215768969448,0.0
official,centered_favor_plus,1083,"[14, 6]",64,20,1.4415400159205025,1.4336052870777531,0.0,0.0,0,0.9267583041529923,1.251235058300827,0.0
official,centered_favor_plus,1083,"[27, 0]",64,20,66.05016152489357,0.6097745300004906,0.0,0.0,0,1.2137049984111183,7.030615940242343,0.0
official,centered_favor_plus,1083,"[27, 6]",64,20,1.08249953871899,0.8905801157130507,0.0,0.0,0,1.299792018555159,0.9931282944077838,0.0
official,centered_favor_plus,1120,"[14, 0]",64,20,1.4564441801664485,1.4425877344948823,0.0,0.0,0,0.3223201036022018,1.2883008863231462,0.0
official,centered_favor_plus,1120,"[14, 6]",64,20,6.204612861462159,1.9580879902390607,0.0,0.0,0,1.1179255153381826,18.92709743510499,0.0
official,centered_favor_plus,1120,"[27, 0]",64,20,481.31039590799605,1.0499756167692118,0.0,0.0,0,1.2820748844090166,28.641901182076595,0.0
official,centered_favor_plus,1120,"[27, 6]",64,20,1.1638017749187974,1.243928092807429,0.0,0.0,0,1.2975865726289388,0.9973322786919226,0.0
official,centered_favor_plus,1157,"[14, 0]",64,20,0.9981488897329477,1.6113566739521414,0.0,0.0,0,0.3669893022748189,0.9963115870953547,0.0
official,centered_favor_plus,1157,"[14, 6]",64,20,1.0018460332662271,2.0470737174239986,0.0,0.0,0,1.224284057824026,1.0034686653562985,0.0
official,centered_favor_plus,1157,"[27, 0]",64,20,33.21672495506005,0.6385129132441385,0.0,0.0,0,1.273932657083583,4.420820697898754,0.0
official,centered_favor_plus,1157,"[27, 6]",64,20,1046.8469368533542,0.9762787899174004,0.0,0.0,0,1.299047318599252,197.69336033153863,0.0
official,sderf,1009,"[14, 0]",64,20,10.150986167572247,2.101100505893819,0.0,0.0,0,0.43951535491035454,5.832723020814578,0.0
official,sderf,1009,"[14, 6]",64,20,1.0056205059846355,4.151963800978006,0.0,0.0,0,1.7522876775713054,0.9977532086483368,0.0
official,sderf,1009,"[27, 0]",64,20,28.047320049938286,0.6689195106163368,0.0,0.0,0,1.3598248391772716,8.304065035204875,0.0
official,sderf,1009,"[27, 6]",64,20,49.08331518833419,1.120599351828359,0.0,0.0,0,1.4958202736079262,18.36603624208407,0.0
official,sderf,1046,"[14, 0]",64,20,1.0274877962992914,5.140798086209405,0.0,0.0,0,0.9247856110714625,1.0319558632152128,0.0
official,sderf,1046,"[14, 6]",64,20,684.7565205955325,2.095930989630413,0.0,0.0,0,1.0960492888473996,1150.6876415334727,0.0
official,sderf,1046,"[27, 0]",64,20,87.4480361535283,0.6358269814498562,0.0,0.0,0,1.4399080729958211,21.920307140177933,0.0
official,sderf,1046,"[27, 6]",64,20,48.02302365751517,2.8663918010263965,0.0,0.0,0,1.573189423806309,2.4441161374979643,0.0
official,sderf,1083,"[14, 0]",64,20,63.15723376013074,4.1852633208472065,0.0,0.0,0,0.8052188981720171,34.10949578524739,0.0
