dataset,head,method,m,realizations,mean,median,minimum,maximum,std
internal,"[27, 0]",aderf,128,5,21.683939069728726,16.905670400006173,5.924058266203597,38.29087478319771,13.711253787084209
internal,"[27, 0]",aderf,640,1,5.1311699936812865,5.1311699936812865,5.1311699936812865,5.1311699936812865,
internal,"[27, 0]",partition,16,1,0.7980923685001348,0.7980923685001348,0.7980923685001348,0.7980923685001348,
internal,"[27, 0]",partition,32,1,0.7905412835861951,0.7905412835861951,0.7905412835861951,0.7905412835861951,
internal,"[27, 0]",partition,64,1,0.7842004236075844,0.7842004236075844,0.7842004236075844,0.7842004236075844,
internal,"[27, 0]",partition,128,1,0.7795995964771218,0.7795995964771218,0.7795995964771218,0.7795995964771218,
internal,"[27, 0]",galerkin,16,1,0.5526471507143726,0.5526471507143726,0.5526471507143726,0.5526471507143726,
internal,"[27, 0]",galerkin,32,1,0.5256347711743983,0.5256347711743983,0.5256347711743983,0.5256347711743983,
internal,"[27, 0]",galerkin,64,1,0.5123278922694695,0.5123278922694695,0.5123278922694695,0.5123278922694695,
internal,"[27, 0]",galerkin,128,1,0.5071933307563775,0.5071933307563775,0.5071933307563775,0.5071933307563775,
internal,"[27, 6]",favor_plus,16,5,1.0001368193219207,0.9999999750384546,0.9999990687566314,1.0006799703735627,0.00030364001837834294
internal,"[27, 6]",favor_plus,32,5,1.000032907221299,0.9999999767797475,0.9999978287526514,1.0001674241825014,7.520240142401651e-05
internal,"[27, 6]",favor_plus,64,5,1.0137068508241,1.0000061945845504,0.9999993550037337,1.0645911888943544,0.028496210783127612
internal,"[27, 6]",favor_plus,128,5,1.0151306948248375,1.006894966486682,0.9999994437839579,1.051331533147767,0.021212895491386052
internal,"[27, 6]",favor_plus,640,1,1.0029763161989755,1.0029763161989755,1.0029763161989755,1.0029763161989755,
internal,"[27, 6]",centered_favor_plus,16,5,582.2977353283734,12.581908277426631,4.143838049999181,2798.251250005452,1239.2547860700693
internal,"[27, 6]",centered_favor_plus,32,5,152.78323135667097,6.275273977007606,2.041529665820099,728.0659697347941,321.7019328197997
internal,"[27, 6]",centered_favor_plus,64,5,2499.1811698563893,224.83766101335382,20.86010234738865,6373.806529591648,3229.669985678288
internal,"[27, 6]",centered_favor_plus,128,5,784.2963226517588,94.65412662247682,39.37669198012006,1933.7191326046109,981.0378509463582
internal,"[27, 6]",centered_favor_plus,640,1,157.37712334414712,157.37712334414712,157.37712334414712,157.37712334414712,
internal,"[27, 6]",sderf,16,5,1463.6893725933578,817.1339949298685,80.11966635831051,5183.518877236986,2125.150937183559
internal,"[27, 6]",sderf,32,5,1080220.9465241623,1298.9856849307992,35.471238068619215,5395528.643599014,2412330.6123384726
internal,"[27, 6]",sderf,64,5,271111.30733898,804.3158270833612,14.934338621941384,1348949.4607385164,602533.8420734324
internal,"[27, 6]",sderf,128,5,72882.86209291356,1361.243113549083,17.697027042020906,337287.26053707785,148169.403195062
internal,"[27, 6]",sderf,640,1,14576.333134824923,14576.333134824923,14576.333134824923,14576.333134824923,
internal,"[27, 6]",aderf,16,5,165.53467290102085,1.0165710331517996,1.0000959051505023,756.3051863489695,331.53559197687275
internal,"[27, 6]",aderf,32,5,122.20634458800586,17.83600456962299,1.0000292923375342,401.3120134590984,175.18167678818523
internal,"[27, 6]",aderf,64,5,32.41662165664946,5.223769286678718,1.0387881412043123,101.0798625487407,44.371524547187526
internal,"[27, 6]",aderf,128,5,9.43618415784682,3.50503277966372,1.0905357129277962,27.227963898396613,11.31347405556961
internal,"[27, 6]",aderf,640,1,2.6865038622707584,2.6865038622707584,2.6865038622707584,2.6865038622707584,
internal,"[27, 6]",partition,16,1,0.6764414241266774,0.6764414241266774,0.6764414241266774,0.6764414241266774,
internal,"[27, 6]",partition,32,1,0.6674977673963145,0.6674977673963145,0.6674977673963145,0.6674977673963145,
internal,"[27, 6]",partition,64,1,0.6608479866292619,0.6608479866292619,0.6608479866292619,0.6608479866292619,
internal,"[27, 6]",partition,128,1,0.6584147241752653,0.6584147241752653,0.6584147241752653,0.6584147241752653,
internal,"[27, 6]",galerkin,16,1,0.3579283892189094,0.3579283892189094,0.3579283892189094,0.3579283892189094,
internal,"[27, 6]",galerkin,32,1,0.3308226434413819,0.3308226434413819,0.3308226434413819,0.3308226434413819,
internal,"[27, 6]",galerkin,64,1,0.31808501779777004,0.31808501779777004,0.31808501779777004,0.31808501779777004,
internal,"[27, 6]",galerkin,128,1,0.3121851187228054,0.3121851187228054,0.3121851187228054,0.3121851187228054,
official,"[14, 0]",favor_plus,16,5,0.9999652592098102,0.9999898146184449,0.9999111924653921,0.9999996890727195,4.285083922380832e-05
official,"[14, 0]",favor_plus,32,5,0.9999683613161685,0.9999680347359302,0.99992513263388,0.9999988692419035,3.03080954154292e-05
official,"[14, 0]",favor_plus,64,5,0.9999684606543242,0.9999809514104252,0.9999219550261257,0.999996995522808,3.32449564956212e-05
official,"[14, 0]",favor_plus,128,5,0.9999622831315895,0.9999729674628263,0.9999266795388002,0.9999890865672382,2.9792600760640235e-05
official,"[14, 0]",favor_plus,640,1,0.9999608004087654,0.9999608004087654,0.9999608004087654,0.9999608004087654,
official,"[14, 0]",centered_favor_plus,16,5,1.4732642918058436,1.0150064140008386,0.9947726824779949,3.095422125676871,0.913725238017705
