dataset,n,head,method,seed,m,log_nmse,nmse,log_cross_over_energy,log_prediction_energy_ratio
internal,131072,"[14, 0]",sderf,1009,32,6.961697237181628,1055.423341706212,-0.3474114969482329,6.96208850035265
internal,131072,"[14, 0]",sderf,1009,64,6.0147429539841974,409.4205854594411,-0.9416239481600677,6.0142054354476
internal,131072,"[14, 0]",sderf,1009,128,5.204121951735855,182.02097937701603,-1.597625985617082,5.200846380775509
internal,131072,"[14, 0]",sderf,1046,16,0.7435175947144791,2.10332114839994,-4.918948968947049,0.11148302006591138
internal,131072,"[14, 0]",sderf,1046,32,0.3355877764498255,1.3987623031875094,-5.600823388881331,-0.9010279441535545
internal,131072,"[14, 0]",sderf,1046,64,0.12279749672762467,1.1306554363374182,-6.2242265364383655,-2.0053204774465456
internal,131072,"[14, 0]",sderf,1046,128,5.877184870652995,356.80337889313864,-1.6615523811755146,5.875444831755274
internal,131072,"[14, 0]",sderf,1083,16,3.30808519521234,27.332738473982467,-8.578229237255975,3.2708272646396708
internal,131072,"[14, 0]",sderf,1083,32,15.23007946845745,4114712.2742979806,1.989159701213726,15.230082778228528
internal,131072,"[14, 0]",sderf,1083,64,13.843782292557808,1028675.1730763718,1.2960972566510272,13.843788426650782
internal,131072,"[14, 0]",sderf,1083,128,12.457499756195816,257171.83424579166,0.6099417678275216,12.45751017971088
internal,131072,"[14, 0]",sderf,1120,16,3.058279512232362,21.29089490833913,-7.706632254532337,3.010216596257237
internal,131072,"[14, 0]",sderf,1120,32,4.187754026474698,65.87467191783466,-6.412943481843499,4.172507847916947
internal,131072,"[14, 0]",sderf,1120,64,3.0932983748840974,22.04968629668843,-6.647752744182647,3.047008875565467
internal,131072,"[14, 0]",sderf,1120,128,10.504997226407585,36497.4336597754,-6.0331756205992555,10.504969958248303
internal,131072,"[14, 0]",sderf,1157,16,0.28481789846382644,1.3295198984601684,-8.40668856412784,-1.1087637354908395
internal,131072,"[14, 0]",sderf,1157,32,2.356610244316653,10.555111493226628,-6.486059951798104,2.2573953007221235
internal,131072,"[14, 0]",sderf,1157,64,3.055329884529341,21.22818722252367,-6.070487205761214,3.00730541156976
internal,131072,"[14, 0]",sderf,1157,128,2.15310459931237,8.611552358240253,-6.719476982879975,2.0299842840445876
internal,131072,"[14, 0]",aderf,1009,16,0.0014618279534028755,1.001462896944716,-9.514105275638466,-6.431208219893133
internal,131072,"[14, 0]",aderf,1009,32,3.765914548370835,43.20319921327168,-2.512530983543712,3.746330217147449
internal,131072,"[14, 0]",aderf,1009,64,8.841170008021122,6913.076265161077,0.3044236993704317,8.841417578693015
internal,131072,"[14, 0]",aderf,1009,128,7.4551786626873024,1728.7928384515433,-0.3801461681677605,7.455391229425857
internal,131072,"[14, 0]",aderf,1046,16,2.9763415375806073,19.615921101209306,-3.3489930917758226,2.9277831695687624
internal,131072,"[14, 0]",aderf,1046,32,11.358491296660725,85689.99014544154,1.228070868212722,11.35855932180013
internal,131072,"[14, 0]",aderf,1046,64,9.972152555194379,21421.5468195945,0.5351216242851287,9.972265300352777
internal,131072,"[14, 0]",aderf,1046,128,8.588142272302981,5367.632807280357,-0.11392898986091637,8.588288442005542
