dataset,factor2,head,head_index,idiv_per_mass,logcosh,m,method,output_nmse,row_l1,seed_count,seed_max,seed_mean,seed_median,seed_min,source
internal,,L27H0,2,,,64,SVD,,,1,0.0004914956043600333,0.0004914956043600333,0.0004914956043600333,0.0004914956043600333,product
internal,,L27H6,3,,,64,SVD,,,1,0.002274984613191454,0.002274984613191454,0.002274984613191454,0.002274984613191454,product
internal,,L14H0,0,,,64,NMF,,,1,1.4864162863356797e-05,1.4864162863356797e-05,1.4864162863356797e-05,1.4864162863356797e-05,product
internal,,L14H6,1,,,64,NMF,,,1,0.00040687801081908624,0.00040687801081908624,0.00040687801081908624,0.00040687801081908624,product
internal,,L27H0,2,,,64,NMF,,,1,0.0008072949364350986,0.0008072949364350986,0.0008072949364350986,0.0008072949364350986,product
internal,,L27H6,3,,,64,NMF,,,1,0.0037103965289483768,0.0037103965289483768,0.0037103965289483768,0.0037103965289483768,product
internal,0.014067268371582032,L14H0,0,8.15762922611256,6.5010903760979915,64,aderf_orf,,,10,408.5265872104779,45.96463881251215,1.210539949214533,0.9956522961589751,product
internal,0.023258686065673828,L14H6,1,6.157529575815561,5.346646382310429,64,aderf_orf,,,10,1039.413583308714,132.1674894025063,2.849318449277244,1.1306524392626724,product
internal,0.05344867706298828,L27H0,2,9.253848301684569,3.5594728083250162,64,aderf_orf,,,10,12.259564046650821,2.3280565818753183,1.0900430061180053,1.0094897843131132,product
internal,0.016066265106201173,L27H6,3,11.523885777721773,6.04018889457309,64,aderf_orf,,,10,20370.006629403684,2625.728524774723,1.016863516615357,1.0000021843140683,product
internal,0.020257091522216795,L14H0,0,7.972006484387691,5.455997791863117,64,balanced_orf,,,10,7.499558045347184,1.8278389090925635,1.0547079330220992,0.9871254157200606,product
internal,0.029857158660888672,L14H6,1,5.564834536971995,4.574725469698017,64,balanced_orf,,,10,254.79850964482728,30.479711588413334,1.189851209018208,0.9850335329118438,product
internal,0.14401988983154296,L27H0,2,3.3064646676505376,1.7508414127856256,64,balanced_orf,,,10,109.47107032617735,19.95524686093794,6.471236658991213,1.2883304480557922,product
internal,0.14352569580078126,L27H6,3,2.9630607680314553,1.7792938391352977,64,balanced_orf,,,10,170.80548235048474,51.57124298485619,32.09990142432769,3.4172589369776847,product
internal,0.02391986846923828,L14H0,0,8.317454108857806,5.641975013525214,64,balanced_sderf_orf,,,10,19.453274556224677,3.1555941142129136,1.3407994643107708,0.9972089953026609,product
internal,0.0357757568359375,L14H6,1,12.210054764498963,4.631145422240526,64,balanced_sderf_orf,,,10,10992325.742581971,1099355.1885221952,20.139893169044054,2.096071297434559,product
internal,0.15929708480834961,L27H0,2,2.98571413911123,1.643141104104607,64,balanced_sderf_orf,,,10,284.9620164485081,47.424029388502404,9.406994658221073,2.247303645620219,product
