dataset,samples_per_marginal,pairs_per_head,head,m,signed_floor_lower,signed_floor_upper,compression_residual_fraction,positive_nmse,partition_projection_nmse,mean_estimation_gap,positive_idiv_per_mass,train_galerkin_signed_nmse,train_anchor_nystrom_signed_nmse,log_raw_second_moment
official,10240,104857600,L27H0,32,0.013701388485303799,0.2526816786423636,0.23898029015705982,0.7018858997386903,0.6889186057904568,0.012967293948233524,0.9535369680738081,0.409037677707987,0.507262775215493,12.367932512213484
official,10240,104857600,L27H0,64,0.004101247168910582,0.24308153732597043,0.23898029015705985,0.6879134529527817,0.6663108615313081,0.021602591421473655,0.8558391589305979,0.38382153232467886,0.45487843250369187,12.367932512213484
official,10240,104857600,L27H0,128,0.0005526616470719618,0.23953295180413173,0.23898029015705977,0.679045336596267,0.6517795515839261,0.027265785012340983,0.7904989032775118,0.3743988252137313,0.4383579940741547,12.367932512213484
official,10240,104857600,L27H6,16,0.012013857141825143,0.18097488943641665,0.1689610322945915,0.6238019593806793,0.5890832640040955,0.03471869537658379,1.033336130326452,0.26482831741647717,0.35415727106388845,18.238113385193948
official,10240,104857600,L27H6,32,0.004284014039712017,0.17324504633430365,0.16896103229459164,0.6089825903916772,0.5671188017700997,0.041863788621577615,0.8753552939464782,0.24651721314212938,0.33603085539012245,18.238113385193948
official,10240,104857600,L27H6,64,0.0011143956686393642,0.17007542796323102,0.16896103229459167,0.5987353164804895,0.5536988022145818,0.0450365142659076,0.8159659612840908,0.23713885315725447,0.3099813970398163,18.238113385193948
official,10240,104857600,L27H6,128,0.0001457351699914164,0.16910676746458295,0.16896103229459153,0.5958018817222166,0.5449576891931119,0.050844192529104645,0.7480105570651393,0.23241967539680383,0.2999851766787559,18.238113385193948
disjoint_ab,16384,268435456,L14H0,16,0.000978292597689891,0.16908805311533948,0.1681097605176496,0.26133514546331493,0.25643746663822675,0.004897678825087476,0.44873236651947507,0.1800921067974468,0.2081974748674512,0.14551835646808797
disjoint_ab,16384,268435456,L14H0,32,0.00021302974301989674,0.1683227902606695,0.16810976051764961,0.2182808023952271,0.2082940959164022,0.009986706478825016,0.3650512511566105,0.1796891088947628,3.298107304551761,0.14551835646808797
disjoint_ab,16384,268435456,L14H0,64,5.46207550102854e-05,0.16816438127265987,0.1681097605176496,0.20507230145989758,0.19100747353512548,0.01406482792477187,0.30450493728937866,0.17971403896958926,3.3073481114406373,0.14551835646808797
