source,m,method,layer,head,relative_error,log_absolute_mse
same_context,32,FAVOR_plus,7,6,1.0,42.3812814799311
same_context,32,FAVOR_plus,7,9,1.0,22.47519198498673
same_context,32,FAVOR_plus,14,0,1.0018969977799315,0.433731779322013
same_context,32,FAVOR_plus,14,3,1.0000000003060832,15.448502697735572
same_context,32,FAVOR_plus,14,6,1.0008711397644459,-1.602258522383499
same_context,32,FAVOR_plus,14,9,1.3299148427171559,-1.2771881674258019
same_context,32,FAVOR_plus,27,0,1.0000524314111567,10.575755129882358
same_context,32,FAVOR_plus,27,3,1.00298379209771,10.327787260896537
same_context,32,FAVOR_plus,27,6,1.0043848176666896,14.909802854726015
same_context,32,FAVOR_plus,27,9,1.0703663985693923,11.50619058707383
same_context,32,centered_FAVOR_plus,0,0,0.9999999998695781,4193.053458698942
same_context,32,centered_FAVOR_plus,0,3,1.0,48513.80745529846
same_context,32,centered_FAVOR_plus,0,6,1.0,8334.159795604219
same_context,32,centered_FAVOR_plus,0,9,1.0314054308260696,244.27111249954763
same_context,32,centered_FAVOR_plus,7,0,9.406075972535046,2.2892266105616326
same_context,32,centered_FAVOR_plus,7,3,4.04546954164969,-0.17648091029731283
same_context,32,centered_FAVOR_plus,7,6,31.56531619360899,45.8333404089224
same_context,32,centered_FAVOR_plus,7,9,1.14412246467854,22.609829921759122
same_context,32,centered_FAVOR_plus,14,0,1.8452784753314546,1.0444667798120175
same_context,32,centered_FAVOR_plus,14,3,1.0000011167241238,15.448503814152987
same_context,32,centered_FAVOR_plus,14,6,2.5221648298609947,-0.6780116907143388
same_context,32,centered_FAVOR_plus,14,9,172.41320884802,3.587590893165169
same_context,32,centered_FAVOR_plus,27,0,5055.420268519487,19.10391896701737
same_context,32,centered_FAVOR_plus,27,3,52.7645632919492,14.290647727088016
same_context,32,centered_FAVOR_plus,27,6,823.9551258488128,21.619543691867847
same_context,32,centered_FAVOR_plus,27,9,231.77250044175858,16.883945857663704
same_context,64,SVD,0,0,1.7475038501593342e-34,4115.323753935637
same_context,64,SVD,0,3,1.7704332686034346e-37,48429.183031158835
same_context,64,SVD,0,6,9.999999999996826e-301,7643.384267706004
same_context,64,SVD,0,9,2.984539930103143e-33,169.34832767033066
same_context,64,SVD,7,0,9.796063012941547e-05,-9.183074143341118
same_context,64,SVD,7,3,2.048082244875657e-05,-12.370100133557518
same_context,64,SVD,7,6,2.8210578522298926e-08,24.997712675491215
same_context,64,SVD,7,9,5.136179813719301e-05,12.59857609625067
same_context,64,SVD,14,0,5.639233941085271e-05,-9.351340656164075
same_context,64,SVD,14,3,1.8733886784146527e-07,-0.04184403509003154
same_context,64,SVD,14,6,0.00021758665222523655,-10.036042668666507
same_context,64,SVD,14,9,8.89408527854404e-06,-13.192427157176185
same_context,64,SVD,27,0,0.0016836532817042578,4.188913425761166
same_context,64,SVD,27,3,0.0034662546727716732,4.660127298513059
same_context,64,SVD,27,6,0.002289109210482389,8.825835094214293
same_context,64,SVD,27,9,0.008629097513755096,6.685574213827666
same_context,64,NMF,0,0,9.212222194641093e-08,4176.853309056918
same_context,64,NMF,0,3,2.3752659587813692e-15,48480.13378831741
same_context,64,NMF,0,6,1.1380447644186362e-38,8246.79087374142
same_context,64,NMF,0,9,8.639012247736168e-07,230.27838273358063
same_context,64,NMF,7,0,0.0001556354486147116,-8.72012340326378
same_context,64,NMF,7,3,2.4705552822537125e-05,-12.18256106255634
same_context,64,NMF,7,6,6.752438018833037e-07,28.173089456619806
same_context,64,NMF,7,9,9.693284500958643e-05,13.233699846273227
same_context,64,NMF,14,0,5.846418305978222e-05,-9.315259668049578
same_context,64,NMF,14,3,4.418520763407957e-07,0.8162120176344096
same_context,64,NMF,14,6,0.00032665032817193006,-9.629749574944736
same_context,64,NMF,14,9,1.395595688387002e-05,-12.741907203655105
same_context,64,NMF,27,0,0.002991092216550647,4.763586031380326
same_context,64,NMF,27,3,0.0062491922234107836,5.24950484363046
same_context,64,NMF,27,6,0.004018266772645839,9.388523001955969
same_context,64,NMF,27,9,0.015200447653228602,7.251759167952498
