folder,objective,method,m,steps,split,metric,layer,head,seeds,documents,mean,seed_std,parameters,training_seconds,feature_pair_ms
fits,raw,kan_signed,64,2000,test,row_l1,14,0,3,20,8.32291358311971,2.237492210938967,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,row_l1,14,6,3,20,5.395851816733678,1.7249279781878846,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,row_l1,27,0,3,20,6.71956406434377,0.6836245588226763,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,row_l1,27,6,3,20,3.832478674252828,0.811133409553904,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,negative_fraction,14,0,3,20,0.3973570331931115,0.03416999958959466,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,negative_fraction,14,6,3,20,0.27831561118364334,0.09167798951192181,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,negative_fraction,27,0,3,20,0.2965835774938265,0.03988112802301381,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,negative_fraction,27,6,3,20,0.209499616920948,0.03131738547010591,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,nonpositive_denominator_fraction,14,0,3,20,0.07386067708333334,0.03574236537979416,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,nonpositive_denominator_fraction,14,6,3,20,0.08945312499999998,0.03989577543222925,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,nonpositive_denominator_fraction,27,0,3,20,0.15810546875,0.06723935986833106,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,nonpositive_denominator_fraction,27,6,3,20,0.10625,0.03943390330797269,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,top1_agreement,14,0,3,20,0.7552734375,0.034716899887769125,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,top1_agreement,14,6,3,20,0.8044596354166665,0.03963897542061136,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,top1_agreement,27,0,3,20,0.03167317708333334,0.00583681638364779,73888,23.08495984536906,2.089847479926215
