loss,training_documents,budget_scale,method,seed,parameters,split,metric,layer,head,value
logcosh,4096,1,kan,11,73856,test_block,row_l1,14,0,0.25537487864494324
logcosh,4096,1,kan,11,73856,test_block,row_l1,14,6,0.500460684299469
logcosh,4096,1,kan,11,73856,test_block,row_l1,27,0,0.7704411745071411
logcosh,4096,1,kan,11,73856,test_block,row_l1,27,6,0.7891063690185547
logcosh,4096,1,kan,29,73856,test_block,row_l1,14,0,0.24344384670257568
logcosh,4096,1,kan,29,73856,test_block,row_l1,14,6,0.5007675290107727
logcosh,4096,1,kan,29,73856,test_block,row_l1,27,0,0.7704765796661377
logcosh,4096,1,kan,29,73856,test_block,row_l1,27,6,0.7800357937812805
logcosh,4096,1,kan,47,73856,test_block,row_l1,14,0,0.24948957562446594
logcosh,4096,1,kan,47,73856,test_block,row_l1,14,6,0.4993867874145508
logcosh,4096,1,kan,47,73856,test_block,row_l1,27,0,0.7773424983024597
logcosh,4096,1,kan,47,73856,test_block,row_l1,27,6,0.7838978171348572
logcosh,4096,1,kan,11,73856,test_block,raw_nmse,14,0,0.9713148744307908
logcosh,4096,1,kan,11,73856,test_block,raw_nmse,14,6,0.9969385305885131
logcosh,4096,1,kan,11,73856,test_block,raw_nmse,27,0,0.9826906246388188
logcosh,4096,1,kan,11,73856,test_block,raw_nmse,27,6,0.9867907632042785
logcosh,4096,1,kan,29,73856,test_block,raw_nmse,14,0,0.9668940361248497
logcosh,4096,1,kan,29,73856,test_block,raw_nmse,14,6,0.9976490591527808
logcosh,4096,1,kan,29,73856,test_block,raw_nmse,27,0,0.9836339231096375
logcosh,4096,1,kan,29,73856,test_block,raw_nmse,27,6,0.9849845087612106
logcosh,4096,1,kan,47,73856,test_block,raw_nmse,14,0,0.9678571058492997
logcosh,4096,1,kan,47,73856,test_block,raw_nmse,14,6,0.9973519302468898
logcosh,4096,1,kan,47,73856,test_block,raw_nmse,27,0,0.9853017198309418
logcosh,4096,1,kan,47,73856,test_block,raw_nmse,27,6,0.9851658256522647
logcosh,4096,2,kan,11,147584,train,logcosh,14,0,1.1604854183849906
logcosh,4096,2,kan,11,147584,train,logcosh,14,6,1.1255616339591938
